Tag,Uhrzeit,Tank1,Tank2
2024-04-01,0:00:00 AM,5.28,3.30
2024-04-01,0:15:00 AM,4.50,2.81
2024-04-01,0:30:00 AM,4.80,3.00
2024-04-01,0:45:00 AM,4.58,2.86
2024-04-01,1:00:00 AM,3.60,2.25
2024-04-01,1:15:00 AM,3.18,1.99
2024-04-01,1:30:00 AM,3.36,2.10
2024-04-01,1:45:00 AM,3.39,2.12
2024-04-01,2:00:00 AM,2.96,1.85
2024-04-01,2:15:00 AM,3.14,1.96
2024-04-01,2:30:00 AM,2.88,1.80
2024-04-01,2:45:00 AM,2.70,1.69
2024-04-01,3:00:00 AM,3.02,1.89
2024-04-01,3:15:00 AM,2.98,1.86
2024-04-01,3:30:00 AM,2.93,1.83
2024-04-01,3:45:00 AM,3.23,2.02
2024-04-01,4:00:00 AM,3.50,2.19
2024-04-01,4:15:00 AM,3.46,2.16
2024-04-01,4:30:00 AM,4.40,2.75
2024-04-01,4:45:00 AM,4.34,2.71
2024-04-01,5:00:00 AM,5.58,3.49
2024-04-01,5:15:00 AM,6.03,3.77
2024-04-01,5:30:00 AM,7.36,4.60
2024-04-01,5:45:00 AM,7.76,4.85
2024-04-01,6:00:00 AM,10.48,6.55
2024-04-01,6:15:00 AM,10.78,6.74
2024-04-01,6:30:00 AM,15.14,9.46
2024-04-01,6:45:00 AM,15.25,9.53
2024-04-01,7:00:00 AM,14.51,9.07
2024-04-01,7:15:00 AM,15.74,9.84
2024-04-01,7:30:00 AM,14.54,9.09
2024-04-01,7:45:00 AM,14.16,8.85
2024-04-01,8:00:00 AM,13.22,8.26
2024-04-01,8:15:00 AM,13.97,8.73
2024-04-01,8:30:00 AM,12.03,7.52
2024-04-01,8:45:00 AM,17.57,10.98
2024-04-01,9:00:00 AM,15.17,9.48
2024-04-01,9:15:00 AM,16.18,10.11
2024-04-01,9:30:00 AM,12.86,8.04
2024-04-01,9:45:00 AM,11.90,7.44
2024-04-01,10:00:00 AM,12.19,7.62
2024-04-01,10:15:00 AM,14.11,8.82
2024-04-01,10:30:00 AM,15.78,9.86
2024-04-01,10:45:00 AM,15.28,9.55
2024-04-01,11:00:00 AM,14.50,9.06
2024-04-01,11:15:00 AM,13.01,8.13
2024-04-01,11:30:00 AM,12.96,8.10
2024-04-01,11:45:00 AM,12.46,7.79
2024-04-01,12:00:00 AM,17.70,11.06
2024-04-01,12:15:00 AM,15.87,9.92
2024-04-01,12:30:00 AM,13.22,8.26
2024-04-01,12:45:00 AM,12.11,7.57
2024-04-01,1:00:00 PM,12.77,7.98
2024-04-01,1:15:00 PM,12.46,7.79
2024-04-01,1:30:00 PM,13.79,8.62
2024-04-01,1:45:00 PM,15.22,9.51
2024-04-01,2:00:00 PM,14.00,8.75
2024-04-01,2:15:00 PM,10.80,6.75
2024-04-01,2:30:00 PM,13.09,8.18
2024-04-01,2:45:00 PM,11.10,6.94
2024-04-01,3:00:00 PM,12.58,7.86
2024-04-01,3:15:00 PM,9.54,5.96
2024-04-01,3:30:00 PM,12.61,7.88
2024-04-01,3:45:00 PM,14.43,9.02
2024-04-01,4:00:00 PM,13.36,8.35
2024-04-01,4:15:00 PM,14.13,8.83
2024-04-01,4:30:00 PM,11.04,6.90
2024-04-01,4:45:00 PM,10.74,6.71
2024-04-01,5:00:00 PM,11.81,7.38
2024-04-01,5:15:00 PM,11.84,7.40
2024-04-01,5:30:00 PM,12.27,7.67
2024-04-01,5:45:00 PM,12.43,7.77
2024-04-01,6:00:00 PM,12.45,7.78
2024-04-01,6:15:00 PM,12.48,7.80
2024-04-01,6:30:00 PM,11.58,7.24
2024-04-01,6:45:00 PM,11.55,7.22
2024-04-01,7:00:00 PM,10.88,6.80
2024-04-01,7:15:00 PM,11.92,7.45
2024-04-01,7:30:00 PM,11.58,7.24
2024-04-01,7:45:00 PM,11.01,6.88
2024-04-01,8:00:00 PM,11.15,6.97
2024-04-01,8:15:00 PM,10.08,6.30
2024-04-01,8:30:00 PM,9.71,6.07
2024-04-01,8:45:00 PM,9.98,6.24
2024-04-01,9:00:00 PM,8.88,5.55
2024-04-01,9:15:00 PM,9.01,5.63
2024-04-01,9:30:00 PM,8.35,5.22
2024-04-01,9:45:00 PM,8.48,5.30
2024-04-01,10:00:00 PM,8.05,5.03
2024-04-01,10:15:00 PM,7.66,4.79
2024-04-01,10:30:00 PM,7.94,4.96
2024-04-01,10:45:00 PM,6.80,4.25
2024-04-01,11:00:00 PM,5.76,3.60
2024-04-01,11:15:00 PM,5.78,3.61
2024-04-01,11:30:00 PM,5.79,3.62
2024-04-01,11:45:00 PM,5.04,3.15
2024-04-02,0:00:00 AM,4.72,2.95
2024-04-02,0:15:00 AM,2.67,1.67
2024-04-02,0:30:00 AM,2.90,1.81
2024-04-02,0:45:00 AM,2.86,1.79
2024-04-02,1:00:00 AM,1.71,1.07
2024-04-02,1:15:00 AM,1.87,1.17
2024-04-02,1:30:00 AM,1.23,0.77
2024-04-02,1:45:00 AM,1.46,0.91
2024-04-02,2:00:00 AM,1.55,0.97
2024-04-02,2:15:00 AM,1.02,0.64
2024-04-02,2:30:00 AM,1.28,0.80
2024-04-02,2:45:00 AM,1.06,0.66
2024-04-02,3:00:00 AM,1.44,0.90
2024-04-02,3:15:00 AM,1.41,0.88
2024-04-02,3:30:00 AM,1.22,0.76
2024-04-02,3:45:00 AM,1.63,1.02
2024-04-02,4:00:00 AM,2.05,1.28
2024-04-02,4:15:00 AM,1.87,1.17
2024-04-02,4:30:00 AM,3.39,2.12
2024-04-02,4:45:00 AM,2.88,1.80
2024-04-02,5:00:00 AM,5.06,3.16
2024-04-02,5:15:00 AM,4.11,2.57
2024-04-02,5:30:00 AM,4.94,3.09
2024-04-02,5:45:00 AM,7.62,4.76
2024-04-02,6:00:00 AM,6.83,4.27
2024-04-02,6:15:00 AM,8.22,5.14
2024-04-02,6:30:00 AM,11.98,7.49
2024-04-02,6:45:00 AM,11.58,7.24
2024-04-02,7:00:00 AM,11.28,7.05
2024-04-02,7:15:00 AM,14.86,9.29
2024-04-02,7:30:00 AM,14.53,9.08
2024-04-02,7:45:00 AM,14.80,9.25
2024-04-02,8:00:00 AM,16.21,10.13
2024-04-02,8:15:00 AM,20.45,12.78
2024-04-02,8:30:00 AM,18.51,11.57
2024-04-02,8:45:00 AM,17.98,11.24
2024-04-02,9:00:00 AM,18.82,11.76
2024-04-02,9:15:00 AM,20.30,12.69
2024-04-02,9:30:00 AM,15.22,9.51
2024-04-02,9:45:00 AM,16.02,10.01
2024-04-02,10:00:00 AM,18.35,11.47
2024-04-02,10:15:00 AM,14.77,9.23
2024-04-02,10:30:00 AM,15.15,9.47
2024-04-02,10:45:00 AM,15.97,9.98
2024-04-02,11:00:00 AM,16.93,10.58
2024-04-02,11:15:00 AM,17.54,10.96
2024-04-02,11:30:00 AM,15.26,9.54
2024-04-02,11:45:00 AM,17.31,10.82
2024-04-02,12:00:00 AM,15.81,9.88
2024-04-02,12:15:00 AM,17.17,10.73
2024-04-02,12:30:00 AM,14.11,8.82
2024-04-02,12:45:00 AM,11.78,7.36
2024-04-02,1:00:00 PM,14.61,9.13
2024-04-02,1:15:00 PM,17.23,10.77
2024-04-02,1:30:00 PM,14.35,8.97
2024-04-02,1:45:00 PM,13.89,8.68
2024-04-02,2:00:00 PM,13.36,8.35
2024-04-02,2:15:00 PM,14.58,9.11
2024-04-02,2:30:00 PM,13.60,8.50
2024-04-02,2:45:00 PM,16.51,10.32
2024-04-02,3:00:00 PM,13.31,8.32
2024-04-02,3:15:00 PM,11.25,7.03
2024-04-02,3:30:00 PM,11.87,7.42
2024-04-02,3:45:00 PM,12.74,7.96
2024-04-02,4:00:00 PM,13.39,8.37
2024-04-02,4:15:00 PM,13.20,8.25
2024-04-02,4:30:00 PM,13.20,8.25
2024-04-02,4:45:00 PM,14.46,9.04
2024-04-02,5:00:00 PM,16.06,10.04
2024-04-02,5:15:00 PM,15.42,9.64
2024-04-02,5:30:00 PM,12.94,8.09
2024-04-02,5:45:00 PM,13.07,8.17
2024-04-02,6:00:00 PM,16.26,10.16
2024-04-02,6:15:00 PM,15.81,9.88
2024-04-02,6:30:00 PM,16.32,10.20
2024-04-02,6:45:00 PM,13.09,8.18
2024-04-02,7:00:00 PM,13.28,8.30
2024-04-02,7:15:00 PM,11.76,7.35
2024-04-02,7:30:00 PM,17.87,11.17
2024-04-02,7:45:00 PM,14.14,8.84
2024-04-02,8:00:00 PM,12.53,7.83
2024-04-02,8:15:00 PM,10.91,6.82
2024-04-02,8:30:00 PM,13.66,8.54
2024-04-02,8:45:00 PM,11.30,7.06
2024-04-02,9:00:00 PM,9.31,5.82
2024-04-02,9:15:00 PM,8.85,5.53
2024-04-02,9:30:00 PM,12.02,7.51
2024-04-02,9:45:00 PM,13.12,8.20
2024-04-02,10:00:00 PM,11.79,7.37
2024-04-02,10:15:00 PM,10.54,6.59
2024-04-02,10:30:00 PM,9.84,6.15
2024-04-02,10:45:00 PM,10.02,6.26
2024-04-02,11:00:00 PM,9.52,5.95
2024-04-02,11:15:00 PM,6.90,4.31
2024-04-02,11:30:00 PM,7.36,4.60
2024-04-02,11:45:00 PM,4.38,2.74
